Fri Jan  7 22:05:01 2022    output.dat

         9052155 function calls (8694985 primitive calls) in 48.670 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19498   11.381    0.001   11.381    0.001 {built-in method drawPath}
     3256   10.677    0.003   10.677    0.003 {built-in method drawPixmap}
        2    3.844    1.922    3.868    1.934 {built-in method exec_}
   198134    3.441    0.000    7.038    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\qt.py:84(distancetoline)
    12788    2.917    0.000    2.917    0.000 {built-in method fillPath}
     1432    2.407    0.002   16.552    0.012 {built-in method repaint}
835475/613741    1.108    0.000    3.764    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   754619    1.083    0.000    1.083    0.000 {built-in method addEllipse}
   756137    1.007    0.000    2.092    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:206(drawVertex)
   208601    1.005    0.000    1.825    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\linalg\linalg.py:2349(norm)
     2982    0.977    0.000    0.977    0.000 {setOverrideCursor}
     9749    0.881    0.000   19.508    0.002 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:145(paint)
215382/215379    0.750    0.000    0.786    0.000 {built-in method numpy.array}
     7337    0.546    0.000    0.546    0.000 {restoreOverrideCursor}
    92642    0.443    0.000    0.443    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9749    0.386    0.000    0.645    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:180(<listcomp>)
     3052    0.354    0.000    7.656    0.003 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:235(nearestEdge)
   970408    0.349    0.000    0.349    0.000 {built-in method lineTo}
   512477    0.342    0.000    1.304    0.000 <__array_function__ internals>:177(dot)
        4    0.296    0.074    0.296    0.074 {built-in method setWidget}
     3256    0.255    0.000   30.870    0.009 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:632(paintEvent)
108529/506    0.195    0.000    0.511    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:128(deepcopy)
     4335    0.188    0.000   26.649    0.006 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:195(mouseMoveEvent)
    89206    0.176    0.000    0.675    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     7639    0.166    0.000    0.216    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:677(offsetToCenter)
    99067    0.161    0.000    7.199    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:261(<listcomp>)
     3963    0.147    0.000    0.394    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:227(nearestVertex)
   208601    0.144    0.000    2.154    0.000 <__array_function__ internals>:177(norm)
     5038    0.111    0.000    0.301    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1479(cross)
   208606    0.103    0.000    0.103    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   512477    0.094    0.000    0.094    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\multiarray.py:736(dot)
       92    0.079    0.001    0.079    0.001 {built-in method _json.encode_basestring}
        3    0.072    0.024    0.072    0.024 {built-in method binascii.b2a_base64}
     2582    0.072    0.000    0.149    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:284(makePath)
        1    0.071    0.071    0.072    0.072 {built-in method showMaximized}
    40640    0.070    0.000    0.428    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:2675(amax)
   432864    0.070    0.000    0.070    0.000 {built-in method builtins.issubclass}
   208601    0.063    0.000    0.089    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\linalg\linalg.py:116(isComplexType)
        4    0.062    0.016    0.062    0.016 {built-in method binascii.a2b_base64}
     3256    0.062    0.000    0.062    0.000 {built-in method begin}
    10571    0.058    0.000    0.381    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:314(onPolygonChange)
    89206    0.056    0.000    0.056    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
    44603    0.055    0.000    0.294    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:2800(amin)
    20162    0.054    0.000    0.079    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1341(normalize_axis_tuple)
    14026    0.054    0.000    0.054    0.000 {method '__reduce_ex__' of 'object' objects}
    10081    0.051    0.000    0.158    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1404(moveaxis)
    13520    0.046    0.000    0.046    0.000 {_unpickle_type}
     4383    0.044    0.000    0.155    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:673(transformPos)
   208601    0.041    0.000    0.041    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\linalg\linalg.py:2345(_norm_dispatcher)
    40640    0.040    0.000    0.513    0.000 <__array_function__ internals>:177(amax)
14026/506    0.039    0.000    0.501    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:259(_reconstruct)
2697/2686    0.039    0.000    3.963    0.001 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
   221734    0.038    0.000    0.038    0.000 {built-in method numpy.asarray}
        5    0.038    0.008    0.044    0.009 {method 'read' of '_io.TextIOWrapper' objects}
       57    0.037    0.001    0.039    0.001 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\qt.py:14(newIcon)
   248759    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
    44603    0.035    0.000    0.365    0.000 <__array_function__ internals>:177(amin)
     4458    0.031    0.000    0.031    0.000 {built-in method tr}
    14532    0.031    0.000    0.102    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:210(_deepcopy_tuple)
     1852    0.028    0.000    0.028    0.000 {built-in method update}
     7337    0.026    0.000    0.572    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:886(restoreCursor)
     9749    0.024    0.000    0.024    0.000 {built-in method moveTo}
     9749    0.024    0.000    0.024    0.000 {built-in method setPen}
    14725    0.023    0.000    0.031    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:165(isVisible)
     4805    0.023    0.000    0.024    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    55092    0.021    0.000    0.197    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\copy.py:264(<genexpr>)
   158093    0.018    0.000    0.018    0.000 {built-in method builtins.id}
    90861    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
     3052    0.017    0.000    0.017    0.000 {method 'round' of 'numpy.ndarray' objects}
141865/141173    0.017    0.000    0.017    0.000 {built-in method builtins.len}
     3963    0.017    0.000    0.097    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:2160(sum)
        1    0.016    0.016  114.333  114.333 c:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\__main__.py:26(main)
      596    0.016    0.000    0.064    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:309(moveVertexBy)
     9749    0.016    0.000    0.016    0.000 {built-in method builtins.round}
     4383    0.015    0.000    0.015    0.000 {built-in method localPos}
     3052    0.015    0.000    0.037    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
        1    0.015    0.015    0.015    0.015 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\json\decoder.py:343(raw_decode)
     7015    0.014    0.000    0.068    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      782    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3963    0.014    0.000    0.014    0.000 {method 'argmin' of 'numpy.ndarray' objects}
     9768    0.013    0.000    0.013    0.000 {built-in method setRenderHint}
        3    0.013    0.004    0.013    0.004 {method 'decode' of 'bytes' objects}
      221    0.013    0.000    0.013    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:305(<listcomp>)
